Digital Gain,11.69,3.41,10.81,3.18,8.39,2.1,42.43,13.77,17.22,3.29,33.33,5.65,17.99,4.27,19.35,4.27,57.58,9.73,12.14,2.11,31.65,5.64,14.5,3.2,11.67,2.4,58.64,13,85.27,18.81,18.7,5.53,38.47,7.62,20.03,3.84,37.17,9.2,4.42,1.82,11.4,2.87,17.88,4.07
13,-0.02319711,0.08760483,0.18147762,0.01094333,0.12465866,-0.00036293,-0.0316308,0.0438723,0.13135739,0.11259571,0.04700097,0.08143594,0.07207283,0.12019141,0.00581013,0.08646274,0.12796225,0.10190584,0.08447474,-0.05982669,0.15932673,0.11902496,0,07:27.0,0,0,0,,,,,,,,,,,,,,,,,
14,-0.02241296,0.08819252,0.18832773,0.00548999,0.12673877,-0.00656198,-0.0418585,0.03885962,0.13335221,0.11798764,0.04922279,0.08554153,0.07560416,0.12476628,0.00480024,0.08826858,0.13426276,0.10591073,0.08769508,-0.07011443,0.1637504,0.12426154,0,07:27.0,0,0,0,,,,,,,,,,,,,,,,,
15,-0.02177411,0.08842599,0.1947559,0.00002927,0.12804398,-0.01304501,-0.05242384,0.03359548,0.13496374,0.12287676,0.0511082,0.08925663,0.07878969,0.12894695,0.0035134,0.08954713,0.14000224,0.1094728,0.09064677,-0.08025634,0.16750963,0.12902516,0,07:27.2,0,0,0,,,,,,,,,,,,,,,,,
16,-0.02128862,0.08830254,0.20071004,-0.00541798,0.12853648,-0.01977509,-0.06326216,0.02810654,0.13615383,0.12720296,0.05264526,0.09253864,0.08160227,0.13268194,0.00196158,0.09028123,0.14512406,0.11255945,0.09329959,-0.09019639,0.17055997,0.13326973,0,07:27.2,0,0,0,,,,,,,,,,,,,,,,,
17,-0.02095038,0.08782806,0.20615342,-0.01082136,0.12821586,-0.02671218,-0.07430062,0.02242531,0.13690311,0.13092543,0.05382191,0.09535335,0.0840201,0.13593929,0.00014825,0.09045146,0.14959706,0.11514775,0.09562581,-0.09988972,0.17286387,0.13695782,0,07:27.4,0,0,0,,,,,,,,,,,,,,,,,
18,-0.02073801,0.08702994,0.21106946,-0.01614621,0.12711969,-0.03378746,-0.08545783,0.01659759,0.13722919,0.13403088,0.05464594,0.09768298,0.08603933,0.13870636,-0.00190675,0.09005883,0.15341119,0.11723816,0.09760376,-0.10929194,0.17442261,0.14007947,0,07:27.4,0,0,0,,,,,,,,,,,,,,,,,
19,-0.02064461,0.08592582,0.21543044,-0.02137447,0.12525991,-0.04095281,-0.09665985,0.01065789,0.13712952,0.13649404,0.05511956,0.09950413,0.08765096,0.14096735,-0.00418904,0.0891058,0.15654349,0.11882508,0.09921396,-0.11836267,0.17522332,0.1426172,0,07:27.5,0,0,0,,,,,,,,,,,,,,,,,
20,-0.02066731,0.08453399,0.21921684,-0.02648645,0.12266092,-0.04815888,-0.10783589,0.00463945,0.13660222,0.13829294,0.05524706,0.10080288,0.08884688,0.14269489,-0.0066825,0.08759814,0.15898564,0.11990697,0.10044266,-0.12706946,0.17525855,0.14455448,0,07:27.7,0,0,0,,,,,,,,,,,,,,,,,
21,-0.02080024,0.08287459,0.22241633,-0.03146494,0.11935814,-0.05536025,-0.11891504,-0.00142449,0.13564515,0.13941562,0.05504128,0.10156766,0.08962605,0.14388353,-0.00936873,0.08554469,0.1607362,0.12048746,0.10127888,-0.13538383,0.17453681,0.14588742,0,07:27.8,0,0,0,,,,,,,,,,,,,,,,,
22,-0.02104149,0.08097419,0.22501643,-0.03630285,0.11538215,-0.06251668,-0.12983322,-0.00750561,0.13427851,0.13985196,0.05451354,0.10179096,0.08999021,0.14451024,-0.01223619,0.0829617,0.16179016,0.12057023,0.10171489,-0.14328501,0.17306475,0.14660646,0,07:27.9,0,0,0,,,,,,,,,,,,,,,,,
23,-0.02139234,0.07885427,0.22701021,-0.04099309,0.1107673,-0.06958545,-0.14053614,-0.01357757,0.13250634,0.13959324,0.05367674,0.10146838,0.08993944,0.14457235,-0.01527178,0.07986593,0.16215791,0.12016773,0.10175008,-0.1507521,0.17085457,0.14671896,0,07:27.9,0,0,0,,,,,,,,,,,,,,,,,
24,-0.02186739,0.0765293,0.22839107,-0.04553756,0.10553563,-0.0765483,-0.15097897,-0.01962405,0.13034004,0.13862926,0.05253981,0.10059912,0.08947902,0.14405617,-0.01845753,0.07627707,0.16184162,0.11928464,0.10138176,-0.15777907,0.16791715,0.14622244,0,07:28.0,0,0,0,,,,,,,,,,,,,,,,,
25,-0.0224995,0.07400137,0.2291432,-0.04996605,0.09968205,-0.08340376,-0.16112798,-0.0256439,0.12777723,0.1369341,0.05111298,0.09917504,0.088602,0.14293894,-0.02179206,0.07220708,0.16083185,0.11792111,0.10061246,-0.1643638,0.16425045,0.1451079,0,07:28.2,0,0,0,,,,,,,,,,,,,,,,,
26,-0.02329485,0.07129265,0.22927292,-0.05427922,0.09324788,-0.09013241,-0.17095366,-0.03162277,0.12482718,0.13451453,0.0494082,0.09720469,0.08731882,0.1412254,-0.02526708,0.06767781,0.15914798,0.11608978,0.0994442,-0.17050198,0.1598752,0.14338815,0,07:28.2,0,0,0,,,,,,,,,,,,,,,,,
27,-0.0242687,0.06841776,0.22879019,-0.05849005,0.08627637,-0.09672323,-0.18042551,-0.03755226,0.12151824,0.13138603,0.04744371,0.0947034,0.08564006,0.13891596,-0.02888247,0.06271695,0.15680963,0.11380982,0.09789169,-0.17620136,0.15482281,0.14107668,0,07:28.4,0,0,0,,,,,,,,,,,,,,,,,
28,-0.02544791,0.06538529,0.2277026,-0.06262413,0.0787907,-0.10318097,-0.18953167,-0.04343386,0.11785525,0.12755354,0.04523107,0.09168153,0.08357467,0.13600467,-0.03262622,0.05735027,0.15383831,0.11109861,0.09596411,-0.18147552,0.14911404,0.13819112,0,07:28.5,0,0,0,,,,,,,,,,,,,,,,,
29,-0.02685367,0.06221118,0.22602306,-0.06670186,0.07082442,-0.10950445,-0.19826639,-0.04926859,0.11386124,0.1230315,0.04278913,0.08815777,0.08113318,0.13249142,-0.03648938,0.05160397,0.15025599,0.10797426,0.09367865,-0.18633889,0.14278229,0.13474514,0,07:28.5,0,0,0,,,,,,,,,,,,,,,,,
30,-0.02851238,0.05890299,0.22376823,-0.07075096,0.0624063,-0.11570723,-0.20662439,-0.05506084,0.10955859,0.11783773,0.04012975,0.08415368,0.0783295,0.12838791,-0.0404808,0.04550727,0.14608712,0.10445447,0.09105331,-0.19081163,0.1358586,0.13076501,0,07:28.6,0,0,0,,,,,,,,,,,,,,,,,
31,-0.03045391,0.05546331,0.22095405,-0.07480004,0.0535565,-0.12180856,-0.21461761,-0.06082214,0.10495774,0.11199013,0.03726817,0.0796924,0.07517631,0.12370256,-0.04460343,0.03908842,0.14135839,0.10055822,0.08810923,-0.19491798,0.12837473,0.12626882,0,07:28.8,0,0,0,,,,,,,,,,,,,,,,,
32,-0.03271008,0.05189477,0.21759847,-0.07888844,0.04429091,-0.12783208,-0.22226538,-0.06656464,0.10007864,0.10550594,0.03421225,0.07479526,0.0716859,0.11844956,-0.04885207,0.03237449,0.13609689,0.096302,0.08486709,-0.19868362,0.12036075,0.12127979,0,07:28.8,0,0,0,,,,,,,,,,,,,,,,,
33,-0.03533047,0.04818387,0.21370661,-0.08306035,0.03458894,-0.13382387,-0.2295963,-0.07231747,0.09490981,0.09838313,0.03096607,0.06947821,0.06786001,0.1126147,-0.05323363,0.02538016,0.13031241,0.09169272,0.08135045,-0.20213331,0.11182808,0.11580501,0,07:28.9,0,0,0,,,,,,,,,,,,,,,,,
34,-0.03834084,0.04432947,0.20930244,-0.08734643,0.02447351,-0.13980897,-0.23663807,-0.07809536,0.0894684,0.0906462,0.02754004,0.06376918,0.06371157,0.10620481,-0.05777194,0.01812716,0.12402331,0.08673882,0.07757706,-0.20529626,0.10280292,0.1098681,0,07:29.0,0,0,0,,,,,,,,,,,,,,,,,
35,-0.04176189,0.04033639,0.20441678,-0.09177014,0.01397551,-0.14581509,-0.24341513,-0.08390869,0.08378477,0.08233567,0.02394205,0.05769937,0.05925954,0.09925866,-0.0624639,0.01064182,0.1172727,0.0814682,0.07357243,-0.20820035,0.09332766,0.10349987,0,07:29.2,0,0,0,,,,,,,,,,,,,,,,,
36,-0.04562331,0.03619711,0.19907425,-0.0963729,0.00310543,-0.15187331,-0.24996139,-0.0897792,0.07785703,0.07347516,0.02018128,0.05129892,0.0545181,0.09178697,-0.06731732,0.00294739,0.11008613,0.07589569,0.06936262,-0.21087731,0.08343149,0.09672611,0,07:29.3,0,0,0,,,,,,,,,,,,,,,,,
37,-0.04994604,0.03191029,0.19330373,-0.10117288,-0.00812206,-0.15801197,-0.25631285,-0.09572168,0.07169788,0.06410255,0.01626283,0.04459871,0.04949884,0.08381991,-0.07233494,-0.00493478,0.10249408,0.07003835,0.06497228,-0.21335487,0.07314832,0.08957155,0,07:29.3,0,0,0,,,,,,,,,,,,,,,,,
38,-0.0547452,0.02747346,0.18713401,-0.10620229,-0.01969088,-0.16425668,-0.26249743,-0.10174613,0.06533196,0.05425525,0.01219676,0.03763284,0.04421872,0.07537648,-0.07752112,-0.0129822,0.0945304,0.06392032,0.06042463,-0.21565975,0.06251521,0.08206408,0,07:29.5,0,0,0,,,,,,,,,,,,,,,,,
39,-0.06003677,0.02288142,0.1805979,-0.11148164,-0.03158652,-0.17063373,-0.26854959,-0.10786697,0.05876327,0.04396779,0.00798529,0.03043502,0.03869417,0.06649049,-0.08288153,-0.02117486,0.08622427,0.05755271,0.05574895,-0.21781628,0.05156526,0.07423503,0,07:29.5,0,0,0,,,,,,,,,,,,,,,,,
40,-0.06583597,0.01812684,0.17372446,-0.11703575,-0.04380003,-0.1771722,-0.27450281,-0.11409432,0.05199641,0.03327943,0.0036356,0.02303825,0.03294255,0.057186,-0.08842832,-0.02949355,0.07760505,0.05095301,0.05096595,-0.21984747,0.04033076,0.06610961,0,07:29.6,0,0,0,,,,,,,,,,,,,,,,,
41,-0.07216796,0.01319002,0.16652934,-0.12289391,-0.05634442,-0.18391134,-0.28039762,-0.12044378,0.04501971,0.02220463,-0.00085595,0.01546559,0.02696877,0.04748392,-0.09416325,-0.03792799,0.06868743,0.04413634,0.04610077,-0.22177528,0.02882701,0.05770348,0,07:29.8,0,0,0,,,,,,,,,,,,,,,,,
